Name,IconFile,UnlockArena,Rarity,ManaCost,ManaCostFromSummonerMana,NotInUse,Mirror,CustomDeployTime,SummonCharacter,SummonNumber,SummonCharacterLevelIndex,SummonCharacterSecond,SummonCharacterSecondCount,SummonRadius,Radius,Height,Projectile,SpellAsDeploy,CanPlaceOnBuildings,InstantDamage,DurationSeconds,InstantHeal,HealPerSecond,Effect,Pushback,MultipleProjectiles,CustomFirstProjectile,BuffTime,BuffTimeIncreasePerLevel,BuffNumber,BuffType,BuffOnDamage,OnlyOwnTroops,OnlyEnemies,CanDeployOnEnemySide,CastSound,AreaEffectObject,TID,TID_INFO,IndicatorEffect,HideRadiusIndicator,DestIndicatorEffect,ReleaseDate,ElixirProductionStopTime,DarkMirror,StatsUnderInfo
SkeletonArmy,skeleton_horde,Arena1pt,Epic,3,,,,,Skeleton,14,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_SKELETON_HORDE,TID_SPELL_INFO_SKELETON_HORDE,,,,,,,true
Bomber,bomber,Arena1,Common,3,,,,,Bomber,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_BOMBER,TID_SPELL_INFO_BOMBER,,,,,,,
Musketeer,musketeer,Arena1pt,Rare,4,,,,,Musketeer,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_MUSKETEER,TID_SPELL_INFO_MUSKETEER,,,,,,,
BabyDragon,baby_dragon,Arena1pt,Epic,4,,,,,BabyDragon,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_BABY_DRAGON,TID_SPELL_INFO_BABY_DRAGON,,,,,,,
Prince,prince,TrainingCamp,Common,5,,,,,Prince,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_PRINCE,TID_SPELL_INFO_PRINCE,,,,,,,
Wizard,wizard,Arena1,Rare,5,,,,,Wizard,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_WIZARD,TID_SPELL_INFO_WIZARD,,,,,,,
MiniPekka,mini_pekka,TrainingCamp,Rare,4,,,,,MiniPekka,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,true,,,,,TID_SPELL_MINIPEKKA,TID_SPELL_INFO_MINIPEKKA,,,,,,,
SpearGoblins,goblin_archer,Arena1,Common,2,,,,,SpearGoblin,3,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_SPEAR_GOBLINS,TID_SPELL_INFO_SPEAR_GOBLINS,,,,,,,
GiantSkeleton,giant_skeleton,TrainingCamp,Epic,6,,,,,GiantSkeleton,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_GIANT_SKELETON,TID_SPELL_INFO_GIANT_SKELETON,,,,,,,
HogRider,hog_rider,Arena1,Rare,4,,,,,HogRider,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_HOG_RIDER,TID_SPELL_INFO_HOG_RIDER,,,,,,,
MinionHorde,minion_horde,TrainingCamp,Common,5,,,,,Minion,6,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_MINION_HORDE,TID_SPELL_INFO_MINION_HORDE,,,,,,,
IceWizard,ice_wizard,Arena1,Legendary,3,,,,,IceWizard,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_ICE_WIZARD,TID_SPELL_INFO_ICE_WIZARD,,,,,,,
RoyalGiant,royal_giant,TrainingCamp,Common,6,,,,,RoyalGiant,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_ROYAL_GIANT,TID_SPELL_INFO_ROYAL_GIANT,,,,,,,
SkeletonWarriors,skeleton_warriors,Arena1,Epic,3,,,,,SkeletonWarrior,3,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_SKELETON_WARRIORS,TID_SPELL_INFO_SKELETON_WARRIORS,,,,,,,
Princess,princess,Arena1,Legendary,3,,,,,Princess,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_PRINCESS,TID_SPELL_INFO_PRINCESS,,,,,,,
DarkPrince,dark_prince,Arena1pt,Common,4,,,,,DarkPrince,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_DARK_PRINCE,TID_SPELL_INFO_DARK_PRINCE,,,,,,,
ThreeMusketeers,three_musketeers,Arena1pt,Rare,9,,,,,Musketeer,3,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_THREE_MUSKETEERS,TID_SPELL_INFO_THREE_MUSKETEERS,,,,,,,
LavaHound,lava_hound,Arena1pt,Legendary,7,,,,,LavaHound,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_LAVA_HOUND,TID_SPELL_INFO_LAVA_HOUND,,,,,,,
IceSpirits,snow_spirits,Arena1pt,Common,1,,,,,IceSpirits,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_ICE_SPIRITS,TID_SPELL_INFO_ICE_SPIRITS,,,,,,,
FireSpirits,fire_spirits,Arena1,Common,2,,,,,FireSpirits,3,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_FIRE_SPIRITS,TID_SPELL_INFO_FIRE_SPIRITS,,,,,,,
Miner,miner,Arena1,Legendary,3,,,,,Miner,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,true,,,TID_SPELL_MINER,TID_SPELL_INFO_MINER,,,,,,,
ZapMachine,zapMachine,TrainingCamp,Legendary,6,,,,,ZapMachine,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,true,,,,,TID_SPELL_ZAPMACHINE,TID_SPELL_INFO_ZAPMACHINE,,,,,,,
Bowler,bowler,Arena1pt,Epic,5,,,,,Bowler,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_BOWLER,TID_SPELL_INFO_BOWLER,,,,,,,
RageBarbarian,rage_barbarian,Arena1pt,Legendary,4,,,,,RageBarbarian,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_RAGE_BARBARIAN,TID_SPELL_INFO_RAGE_BARBARIAN,,,,,,,
BattleRam,battle_ram,TrainingCamp,Rare,4,,,,,BattleRam,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_BATTLE_RAM,TID_SPELL_INFO_BATTLE_RAM,,,,,,,
InfernoDragon,inferno_dragon,TrainingCamp,Legendary,4,,,,,InfernoDragon,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_INFERNO_DRAGON,TID_SPELL_INFO_INFERNO_DRAGON,,,,,,,
IceGolemite,ice_golem,Arena1pt,Rare,2,,,,,IceGolemite,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_ICEGOLEMITE,TID_SPELL_INFO_ICEGOLEMITE,,,,,,,
MegaMinion,mega_minion,TrainingCamp,Rare,3,,,,,MegaMinion,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_MEGAMINION,TID_SPELL_INFO_MEGAMINION,,,,,,,
BlowdartGoblin,blowdart_goblin,Arena1,Rare,3,,,,,BlowdartGoblin,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_BLOWDART_GOBLIN,TID_SPELL_INFO_BLOWDART_GOBLIN,,,,,,,
GoblinGang,goblin_gang,Arena1,Common,3,,,,,Goblin,3,,SpearGoblin,2,1000,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_GOBLIN_GANG,TID_SPELL_INFO_GOBLIN_GANG,,,,,,,
ElectroWizard,electro_wizard,Arena1pt,Legendary,4,,,,,ElectroWizard,1,,,,,2500,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_ELECTRO_WIZARD,TID_SPELL_INFO_ELECTRO_WIZARD,,,,,,,
AngryBarbarians,angry_barbarian,Arena1pt,Common,6,,,,,AngryBarbarian,2,,,,700,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_ANGRY_BARBARIANS,TID_SPELL_INFO_ANGRY_BARBARIANS,,,,,,,
NOTINUSE1,not_in_use,Arena1,Legendary,3,,,,,Assassin,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_ASSASSIN,TID_SPELL_INFO_ASSASSIN,,,,,,,
AxeMan,executioner,Arena1,Epic,5,,,,,AxeMan,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_AXEMAN,TID_SPELL_INFO_AXEMAN,,,,,,,
Assassin,bandit,Arena1,Legendary,3,,,,,Assassin,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_ASSASSIN,TID_SPELL_INFO_ASSASSIN,,,,,,,
NOTINUSE2,not_in_use,Arena1,Legendary,3,,,,,Assassin,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_ASSASSIN,TID_SPELL_INFO_ASSASSIN,,,,,,,
DarkWitch,dark_witch,Arena1pt,Legendary,4,,,,,DarkWitch,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_DARK_WITCH,TID_SPELL_INFO_DARK_WITCH,,,,,,,
Bats,bats,TrainingCamp,Common,2,,,,,Bat,4,,,,750,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_BATS,TID_SPELL_INFO_BATS,,,,,,,
NOTINUSE6,not_in_use,Arena1pt,Legendary,5,,,,,Assassin,7,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT,TID_SPELL_KNIGHT,,,,,,,
NOTINUSE3,not_in_use,TrainingCamp,Legendary,3,,,,,Assassin,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_ASSASSIN,TID_SPELL_INFO_ASSASSIN,,,,,,,
NOTINUSE9,not_in_use,Arena1pt,Legendary,3,,,,,Assassin,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_ASSASSIN,TID_SPELL_INFO_ASSASSIN,,,,,,,
NOTINUSE4,not_in_use,TrainingCamp,Legendary,3,,,,,Assassin,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_ASSASSIN,TID_SPELL_INFO_ASSASSIN,,,,,,,
MovingCannon,cannon_cart,Arena1,Epic,5,,,,,MovingCannon,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_MOVING_CANNON,TID_SPELL_INFO_MOVING_CANNON,,,,,,,
MegaKnight,mega_knight,Arena1pt,Legendary,7,,,,,MegaKnight,1,,,,,,,MegaKnightAppear,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_MEGAKNIGHT,TID_SPELL_INFO_MEGAKNIGHT,,,,,,,
SkeletonBalloon,skeleton_balloon,Arena1pt,Common,3,,,,,SkeletonBalloon,1,,,,,,3000,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_SKELETON_BALLOON,TID_SPELL_INFO_SKELETON_BALLOON,,,,,,,
DartBarrell,flying_machine,Arena1,Rare,4,,,,,DartBarrell,1,,,,,,3000,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_DART_BARRELL,TID_SPELL_INFO_DART_BARRELL,,,,,,,
PrinceGang,dark_prince,Arena7,Common,13,,,,,DarkPrince,3,,Prince,2,1000,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_GOBLIN_GANG,TID_SPELL_INFO_GOBLIN_GANG,,,,,,,
IceGolemiteArmy,skeleton_horde,Arena8,Epic,8,,,,,IceGolemite,25,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_SKELETON_HORDE,TID_SPELL_INFO_SKELETON_HORDE,,,,,,,true
GoblinMom,princess,Arena9,Legendary,11,,,,,GoblinMom,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_PRINCESS,TID_SPELL_INFO_PRINCESS,,,,,,,
EaterGoblin,blowdart_goblin,Arena1,Common,7,,,,,EaterGoblin,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_EATER,TID_BLANK,,,,,,,
GlitchedGiant,giant,Arena9,Rare,9,,,,,GlitchedGiant,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,true,,,,,TID_SPELL_GIANT,TID_SPELL_INFO_GIANT,,,,,,,
OrangeSkeletonArmy,skeleton_horde,Arena2,Epic,13,,,,,OrangeSkeleton,18,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_SKELETON_HORDE,TID_SPELL_INFO_SKELETON_HORDE,,,,,,,true
OrangeSkeletons,skeletons,Arena2,Common,2,,,,,OrangeSkeleton,3,,,,700,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_SKELETONS,TID_SPELL_INFO_SKELETONS,,,,,,,
PekkaWitch,chr_witch,Arena4,Epic,13,,,,,PekkaWitch,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,true,,,,,TID_SPELL_WITCH,TID_SPELL_INFO_WITCH,,,,,,,
InfernoWitch,dark_witch,Arena4,Legendary,10,,,,,InfernoWitch,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_DARK_WITCH,TID_SPELL_INFO_DARK_WITCH,,,,,,,
ZapWizard,ice_wizard,Arena6,Legendary,3,,,,,ZapWizard,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_ICE_WIZARD,TID_SPELL_INFO_ICE_WIZARD,,,,,,,
GoblinHogRider,hog_rider,Arena9,Epic,10,,,,,GoblinHogRider,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_HOG_RIDER,TID_SPELL_INFO_HOG_RIDER,,,,,,,
IceSpiritArmy,snow_spirits,Arena8,Common,5,,,,,IceSpirits,37,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_ICE_SPIRITS,TID_SPELL_INFO_ICE_SPIRITS,,,,,,,
FastValkyrie,valkyrie,Arena7,Rare,5,,,,,FastValkyrie,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_ICE_SPIRITS,TID_SPELL_INFO_ICE_SPIRITS,,,,,,,
StrongBowler,bowler,Arena3,Epic,6,,,,,StrongBowler,2,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_BOWLER,TID_SPELL_INFO_BOWLER,,,,,,,
FastBalloon,chr_balloon,Arena3,Epic,6,,,,,FastBalloon,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_BALLOON,TID_SPELL_INFO_BALLOON,,,,,,,
GraveyardDragon,baby_dragon,Arena7,Epic,6,,,,,GraveyardDragon,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_BABY_DRAGON,TID_SPELL_INFO_BABY_DRAGON,,,,,,,
PekkaArmy,pekka,Arena4,Epic,12,,,,,Pekka,20,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,true,,,,,TID_SPELL_PEKKA,TID_SPELL_INFO_PEKKA,,,,,,,
KnightGiant,giant,Arena7,Rare,12,,,,,KnightGiant,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,true,,,,,TID_SPELL_GIANT,TID_SPELL_INFO_GIANT,,,,,,,
DragonGang,dark_prince,Arena7,Legendary,12,,,,,LavaHound,3,,BabyDragon,4,1000,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_GOBLIN_GANG,TID_SPELL_INFO_GOBLIN_GANG,,,,,,,
GiantBalloon,chr_balloon,Arena6,Epic,13,,,,,GiantBalloon,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_BALLOON,TID_SPELL_INFO_BALLOON,,,,,,,
SuperSkeleton,skeletons,Arena2,Common,13,,,,,SuperSkeleton,1,,,,700,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_SKELETONS,TID_SPELL_INFO_SKELETONS,,,,,,,
ZapMachineMinion,minion,Arena6,Legendary,13,,,,,ZapMachineMinion,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_MINIONS,TID_SPELL_INFO_MINIONS,,,,,,,
MegaGoblins,goblins,Arena9,Epic,6,,,,,MegaGoblin,10,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_SKELETON_HORDE,TID_SPELL_INFO_SKELETON_HORDE,,,,,,,true
SuperAngryBarbarianBattleRam,battle_ram,Arena3,Rare,8,,,,,SuperAngryBarbarianBattleRam,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_BATTLE_RAM,TID_SPELL_INFO_BATTLE_RAM,,,,,,,
GolemArmy,chr_golem,Arena6,Common,13,,,,,Golem,10,,,,800,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_GOBLIN_GANG,TID_SPELL_INFO_GOBLIN_GANG,,,,,,,
RocketMachine,zapMachine,Arena6,Legendary,4,,,,,RocketMachine,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,true,,,,,TID_SPELL_ZAPMACHINE,TID_SPELL_INFO_ZAPMACHINE,,,,,,,
IceArchers,archers,Arena8,Epic,3,,,,,IceArcher,2,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_ARCHERS,TID_SPELL_INFO_ARCHERS,,,,,,,
InfernoLavaHound,lava_hound,Arena4,Legendary,9,,,,,InfernoLavaHound,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_LAVA_HOUND,TID_SPELL_INFO_LAVA_HOUND,,,,,,,
KillerAxeMan,executioner,Arena7,Epic,8,,,,,KillerAxeMan,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_AXEMAN,TID_SPELL_INFO_AXEMAN,,,,,,,
ZapMachineArmy,zapMachine,Arena4,Legendary,11,,,,,ZapMachine,12,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,true,,,,,TID_SPELL_ZAPMACHINE,TID_SPELL_INFO_ZAPMACHINE,,,,,,,
BlackPekka,pekka,Arena4,Epic,11,,,,,BlackPekka,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,true,,,,,TID_SPELL_PEKKA,TID_SPELL_INFO_PEKKA,,,,,,,
KnightBalloon,skeleton_balloon,Arena6,Common,6,,,,,KnightBalloon,4,,,,2500,,3000,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_SKELETON_BALLOON,TID_SPELL_INFO_SKELETON_BALLOON,,,,,,,
KillerMusketeer,musketeer,Arena3,Rare,6,,,,,KillerMusketeer,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_MUSKETEER,TID_SPELL_INFO_MUSKETEER,,,,,,,
PrincessArmy,princess,Arena7,Legendary,16,,,,,PrincessContainer,2,,,,6000,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_PRINCESS,TID_SPELL_INFO_PRINCESS,,,,,,,
GiantWizard,wizard,Arena5,Rare,12,,,,,GiantWizard,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_WIZARD,TID_SPELL_INFO_WIZARD,,,,,,,
BigIceGolemiteOne,ice_golem,Arena8,Rare,8,,,,,BigIceGolemiteOne,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_ICEGOLEMITE,TID_SPELL_INFO_ICEGOLEMITE,,,,,,,
WallBreakers,bomber,Arena6,Epic,2,,,,,WallBreaker,2,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_WALLBREAKERS,TID_SPELL_INFO_WALLBREAKERS,,,,,,,
Pikachu,knight,Arena3,Common,7,,,,,Pikachu,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_PIKACHU,TID_SPELL_INFO_PIKACHU,,,,,,,
KillerAssassin,bandit,Arena9,Legendary,8,,,,,KillerAssassin,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_BABY_DRAGON,TID_SPELL_INFO_BABY_DRAGON,,,,,,,
Phoenix,baby_dragon,Arena5,Legendary,5,,,,,Phoenix,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_BABY_DRAGON,TID_SPELL_INFO_BABY_DRAGON,,,,,,,
PhoenixArmy,skeleton_horde,Arena5,Epic,12,,,,,Phoenix,5,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_SKELETON_HORDE,TID_SPELL_INFO_SKELETON_HORDE,,,,,,,true
DarkWitchArmy,dark_witch,Arena9,Legendary,8,,,,,DarkWitch,7,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_DARK_WITCH,TID_SPELL_INFO_DARK_WITCH,,,,,,,
KillerMegaKnight,mega_knight,Arena4,Legendary,14,,,,,KillerMegaKnight,1,,,,,,,MegaKnightAppear,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_MEGAKNIGHT,TID_SPELL_INFO_MEGAKNIGHT,,,,,,,
KillerRoyalGiant,royal_giant,Arena7,Rare,11,,,,,KillerRoyalGiant,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_ROYAL_GIANT,TID_SPELL_INFO_ROYAL_GIANT,,,,,,,
LightningGiant,giant,Arena4,Epic,14,,,,,LightningGiant,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_GIANT_SKELETON,TID_SPELL_INFO_GIANT_SKELETON,,,,,,,
SuperMegaMinion,mega_minion,Arena9,Rare,6,,,,,SuperMegaMinion,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_MEGAMINION,TID_SPELL_INFO_MEGAMINION,,,,,,,
Bolsonaro,hog_rider,Arena1pt,Epic,8,,,,,Bolsonaro,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_BOLSONARO,TID_SPELL_INFO_HOG_RIDER,,,,,,,
LogKnight,knight,Arena3,Legendary,8,,,,,LogKnight,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_KNIGHT,TID_SPELL_INFO_KNIGHT,,,,,,,
Airplane,flying_machine,Arena4,Rare,7,,,,,Airplane,1,,,,,,3000,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_DART_BARRELL,TID_SPELL_INFO_DART_BARRELL,,,,,,,
ZapSpearGoblins,goblin_archer,Arena1,Common,7,,,,,ZapSpearGoblin,4,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_SPEAR_GOBLINS,TID_SPELL_INFO_SPEAR_GOBLINS,,,,,,,
MegaKnightWizard,ice_wizard,Arena_gloria,Legendary,6,,,,,MegaKnightWizard,,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_ICE_WIZARD,TID_SPELL_INFO_ICE_WIZARD,,,,,,,
SkeletonWarriorWitch,skeleton_warriors,Arena2,Epic,3,,,,,SkeletonWarriorWitch,1,,,,,,,,,,,,,,CharacterDeploy,,,,,,,,,,,,,,TID_SPELL_SKELETON_WARRIORS,TID_SPELL_INFO_SKELETON_WARRIORS,,,,,,,
